herd,year,treatment,applied,intensity
Barkerville,1995,transplant,0,NA
Barkerville,1996,transplant,0,NA
Barkerville,1997,transplant,0,NA
Barkerville,1998,transplant,0,NA
Barkerville,1999,transplant,0,NA
Barkerville,2000,transplant,0,NA
Barkerville,2001,transplant,0,NA
Barkerville,2002,transplant,0,NA
Barkerville,2003,transplant,0,NA
Barkerville,2004,transplant,0,NA
Barkerville,2005,transplant,0,NA
Barkerville,2006,transplant,0,NA
Barkerville,2007,transplant,0,NA
Barkerville,2008,transplant,0,NA
Barkerville,2009,transplant,0,NA
Barkerville,2010,transplant,0,NA
Barkerville,2011,transplant,0,NA
Barkerville,2012,transplant,0,NA
Barkerville,2013,transplant,0,NA
Barkerville,2014,transplant,0,NA
Barkerville,2015,transplant,0,NA
Barkerville,2016,transplant,0,NA
Barkerville,2017,transplant,0,NA
Barkerville,2018,transplant,0,NA
Barkerville,2019,transplant,0,NA
Barkerville,2020,transplant,0,NA
Barkerville,2021,transplant,0,NA
Barkerville,2022,transplant,0,NA
Barkerville,2023,transplant,0,NA
Barkerville,1973,pen,NA,NA
Barkerville,1974,pen,NA,NA
Barkerville,1975,pen,NA,NA
Barkerville,1976,pen,NA,NA
Barkerville,1977,pen,NA,NA
Barkerville,1978,pen,NA,NA
Barkerville,1979,pen,NA,NA
Barkerville,1980,pen,NA,NA
Barkerville,1981,pen,NA,NA
Barkerville,1982,pen,NA,NA
Barkerville,1983,pen,NA,NA
Barkerville,1984,pen,NA,NA
Barkerville,1985,pen,NA,NA
Barkerville,1986,pen,NA,NA
Barkerville,1987,pen,0,NA
Barkerville,1988,pen,0,NA
Barkerville,1989,pen,0,NA
Barkerville,1990,pen,0,NA
Barkerville,1991,pen,0,NA
Barkerville,1992,pen,0,NA
Barkerville,1993,pen,0,NA
Barkerville,1994,pen,0,NA
Barkerville,1995,pen,0,NA
Barkerville,1996,pen,0,NA
Barkerville,1997,pen,0,NA
Barkerville,1998,pen,0,NA
Barkerville,1999,pen,0,NA
Barkerville,2000,pen,0,NA
Barkerville,2001,pen,0,NA
Barkerville,2002,pen,0,NA
Barkerville,2003,pen,0,NA
Barkerville,2004,pen,0,NA
Barkerville,2005,pen,0,NA
Barkerville,2006,pen,0,NA
Barkerville,2007,pen,0,NA
Barkerville,2008,pen,0,NA
Barkerville,2009,pen,0,NA
Barkerville,2010,pen,0,NA
Barkerville,2011,pen,0,NA
Barkerville,2012,pen,0,NA
Barkerville,2013,pen,0,NA
Barkerville,2014,pen,0,NA
Barkerville,2015,pen,0,NA
Barkerville,2016,pen,0,NA
Barkerville,2017,pen,0,NA
Barkerville,2018,pen,0,NA
Barkerville,2019,pen,0,NA
Barkerville,2020,pen,0,NA
Barkerville,2021,pen,0,NA
Barkerville,2022,pen,0,NA
Barkerville,2023,pen,0,NA
Barkerville,1973,reduce moose,NA,NA
Barkerville,1974,reduce moose,NA,NA
Barkerville,1975,reduce moose,NA,NA
Barkerville,1976,reduce moose,NA,NA
Barkerville,1977,reduce moose,NA,NA
Barkerville,1978,reduce moose,NA,NA
Barkerville,1979,reduce moose,NA,NA
Barkerville,1980,reduce moose,NA,NA
Barkerville,1981,reduce moose,NA,NA
Barkerville,1982,reduce moose,NA,NA
Barkerville,1983,reduce moose,NA,NA
Barkerville,1984,reduce moose,NA,NA
Barkerville,1985,reduce moose,NA,NA
Barkerville,1986,reduce moose,NA,NA
Barkerville,1987,reduce moose,0,NA
Barkerville,1988,reduce moose,0,NA
Barkerville,1989,reduce moose,0,NA
Barkerville,1990,reduce moose,0,NA
Barkerville,1991,reduce moose,0,NA
Barkerville,1992,reduce moose,0,NA
Barkerville,1993,reduce moose,0,NA
Barkerville,1994,reduce moose,0,NA
Barkerville,1995,reduce moose,0,NA
Barkerville,1996,reduce moose,0,NA
Barkerville,1997,reduce moose,0,NA
Barkerville,1998,reduce moose,0,NA
Barkerville,1999,reduce moose,0,NA
Barkerville,2000,reduce moose,0,NA
Barkerville,2001,reduce moose,0,NA
Barkerville,2002,reduce moose,0,NA
Barkerville,2003,reduce moose,0,NA
Barkerville,2004,reduce moose,0,NA
Barkerville,2005,reduce moose,0,NA
Barkerville,2006,reduce moose,0,NA
Barkerville,2007,reduce moose,0,NA
Barkerville,2008,reduce moose,0,NA
Barkerville,2009,reduce moose,0,NA
Barkerville,2010,reduce moose,0,NA
Barkerville,2011,reduce moose,0,NA
Barkerville,2012,reduce moose,0,NA
Barkerville,2013,reduce moose,0,NA
Barkerville,2014,reduce moose,0,NA
Barkerville,2015,reduce moose,0,NA
Barkerville,2016,reduce moose,0,NA
Barkerville,2017,reduce moose,0,NA
Barkerville,2018,reduce moose,0,NA
Barkerville,2019,reduce moose,0,NA
Barkerville,2020,reduce moose,0,NA
Barkerville,2021,reduce moose,0,NA
Barkerville,2022,reduce moose,0,NA
Barkerville,2023,reduce moose,0,NA
Barkerville,1973,feed,NA,NA
Barkerville,1974,feed,NA,NA
Barkerville,1975,feed,NA,NA
Barkerville,1976,feed,NA,NA
Barkerville,1977,feed,NA,NA
Barkerville,1978,feed,NA,NA
Barkerville,1979,feed,NA,NA
Barkerville,1980,feed,NA,NA
Barkerville,1981,feed,NA,NA
Barkerville,1982,feed,NA,NA
Barkerville,1983,feed,NA,NA
Barkerville,1984,feed,NA,NA
Barkerville,1985,feed,NA,NA
Barkerville,1986,feed,NA,NA
Barkerville,1987,feed,0,NA
Barkerville,1988,feed,0,NA
Barkerville,1989,feed,0,NA
Barkerville,1990,feed,0,NA
Barkerville,1991,feed,0,NA
Barkerville,1992,feed,0,NA
Barkerville,1993,feed,0,NA
Barkerville,1994,feed,0,NA
Barkerville,1995,feed,0,NA
Barkerville,1996,feed,0,NA
Barkerville,1997,feed,0,NA
Barkerville,1998,feed,0,NA
Barkerville,1999,feed,0,NA
Barkerville,2000,feed,0,NA
Barkerville,2001,feed,0,NA
Barkerville,2002,feed,0,NA
Barkerville,2003,feed,0,NA
Barkerville,2004,feed,0,NA
Barkerville,2005,feed,0,NA
Barkerville,2006,feed,0,NA
Barkerville,2007,feed,0,NA
Barkerville,2008,feed,0,NA
Barkerville,2009,feed,0,NA
Barkerville,2010,feed,0,NA
Barkerville,2011,feed,0,NA
Barkerville,2012,feed,0,NA
Barkerville,2013,feed,0,NA
Barkerville,2014,feed,0,NA
Barkerville,2015,feed,0,NA
Barkerville,2016,feed,0,NA
Barkerville,2017,feed,0,NA
Barkerville,2018,feed,0,NA
Barkerville,2019,feed,0,NA
Barkerville,2020,feed,0,NA
Barkerville,2021,feed,0,NA
Barkerville,2022,feed,0,NA
Barkerville,2023,feed,0,NA
Brazeau,1973,reduce wolves,NA,NA
Brazeau,1974,reduce wolves,NA,NA
Brazeau,1975,reduce wolves,NA,NA
Brazeau,1976,reduce wolves,NA,NA
Brazeau,1977,reduce wolves,NA,NA
Brazeau,1978,reduce wolves,NA,NA
Brazeau,1979,reduce wolves,NA,NA
Brazeau,1980,reduce wolves,NA,NA
Brazeau,1981,reduce wolves,NA,NA
Brazeau,1982,reduce wolves,NA,NA
Brazeau,1983,reduce wolves,NA,NA
Brazeau,1984,reduce wolves,NA,NA
Brazeau,1985,reduce wolves,NA,NA
Brazeau,1986,reduce wolves,NA,NA
Brazeau,1987,reduce wolves,NA,NA
Brazeau,1988,reduce wolves,0,NA
Brazeau,1989,reduce wolves,0,NA
Brazeau,1990,reduce wolves,0,NA
Brazeau,1991,reduce wolves,0,NA
Brazeau,1992,reduce wolves,0,NA
Brazeau,1993,reduce wolves,0,NA
Brazeau,1994,reduce wolves,0,NA
Brazeau,1995,reduce wolves,0,NA
Brazeau,1996,reduce wolves,0,NA
Brazeau,1997,reduce wolves,0,NA
Brazeau,1998,reduce wolves,0,NA
Brazeau,1999,reduce wolves,0,NA
Brazeau,2000,reduce wolves,0,NA
Brazeau,2001,reduce wolves,0,NA
Brazeau,2002,reduce wolves,0,NA
Brazeau,2003,reduce wolves,0,NA
Brazeau,2004,reduce wolves,0,NA
Brazeau,2005,reduce wolves,0,NA
Brazeau,2006,reduce wolves,0,NA
Brazeau,2007,reduce wolves,0,NA
Brazeau,2008,reduce wolves,0,NA
Brazeau,2009,reduce wolves,0,NA
Brazeau,2010,reduce wolves,0,NA
Brazeau,2011,reduce wolves,0,NA
Brazeau,2012,reduce wolves,0,NA
Brazeau,2013,reduce wolves,0,NA
Brazeau,2014,reduce wolves,0,NA
Brazeau,2015,reduce wolves,0,NA
Brazeau,2016,reduce wolves,0,NA
Brazeau,2017,reduce wolves,0,NA
Brazeau,2018,reduce wolves,0,NA
Brazeau,2019,reduce wolves,0,NA
Brazeau,2020,reduce wolves,0,NA
Brazeau,2021,reduce wolves,0,NA
Brazeau,2022,reduce wolves,0,NA
Brazeau,2023,reduce wolves,0,NA
Brazeau,1973,sterilize wolves,NA,NA
Brazeau,1974,sterilize wolves,NA,NA
Brazeau,1975,sterilize wolves,NA,NA
Brazeau,1976,sterilize wolves,NA,NA
Brazeau,1977,sterilize wolves,NA,NA
Brazeau,1978,sterilize wolves,NA,NA
Brazeau,1979,sterilize wolves,NA,NA
Brazeau,1980,sterilize wolves,NA,NA
Brazeau,1981,sterilize wolves,NA,NA
Brazeau,1982,sterilize wolves,NA,NA
Brazeau,1983,sterilize wolves,NA,NA
Brazeau,1984,sterilize wolves,NA,NA
Brazeau,1985,sterilize wolves,NA,NA
Brazeau,1986,sterilize wolves,NA,NA
Brazeau,1987,sterilize wolves,NA,NA
Brazeau,1988,sterilize wolves,0,NA
Brazeau,1989,sterilize wolves,0,NA
Brazeau,1990,sterilize wolves,0,NA
Brazeau,1991,sterilize wolves,0,NA
Brazeau,1992,sterilize wolves,0,NA
Brazeau,1993,sterilize wolves,0,NA
Brazeau,1994,sterilize wolves,0,NA
Brazeau,1995,sterilize wolves,0,NA
Brazeau,1996,sterilize wolves,0,NA
Brazeau,1997,sterilize wolves,0,NA
Brazeau,1998,sterilize wolves,0,NA
Brazeau,1999,sterilize wolves,0,NA
Brazeau,2000,sterilize wolves,0,NA
Brazeau,2001,sterilize wolves,0,NA
Brazeau,2002,sterilize wolves,0,NA
Brazeau,2003,sterilize wolves,0,NA
Brazeau,2004,sterilize wolves,0,NA
Brazeau,2005,sterilize wolves,0,NA
Brazeau,2006,sterilize wolves,0,NA
Brazeau,2007,sterilize wolves,0,NA
Brazeau,2008,sterilize wolves,0,NA
Brazeau,2009,sterilize wolves,0,NA
Brazeau,2010,sterilize wolves,0,NA
Brazeau,2011,sterilize wolves,0,NA
Brazeau,2012,sterilize wolves,0,NA
Brazeau,2013,sterilize wolves,0,NA
Brazeau,2014,sterilize wolves,0,NA
Brazeau,2015,sterilize wolves,0,NA
Brazeau,2016,sterilize wolves,0,NA
Brazeau,2017,sterilize wolves,0,NA
Brazeau,2018,sterilize wolves,0,NA
Brazeau,2019,sterilize wolves,0,NA
Brazeau,2020,sterilize wolves,0,NA
Brazeau,2021,sterilize wolves,0,NA
Brazeau,2022,sterilize wolves,0,NA
Brazeau,2023,sterilize wolves,0,NA
Brazeau,1973,transplant,NA,NA
Brazeau,1974,transplant,NA,NA
Brazeau,1975,transplant,NA,NA
Brazeau,1976,transplant,NA,NA
Brazeau,1977,transplant,NA,NA
Brazeau,1978,transplant,NA,NA
Brazeau,1979,transplant,NA,NA
Brazeau,1980,transplant,NA,NA
Brazeau,1981,transplant,NA,NA
Brazeau,1982,transplant,NA,NA
Brazeau,1983,transplant,NA,NA
Brazeau,1984,transplant,NA,NA
Brazeau,1985,transplant,NA,NA
Brazeau,1986,transplant,NA,NA
Brazeau,1987,transplant,NA,NA
Brazeau,1988,transplant,0,NA
Brazeau,1989,transplant,0,NA
Brazeau,1990,transplant,0,NA
Brazeau,1991,transplant,0,NA
Brazeau,1992,transplant,0,NA
Brazeau,1993,transplant,0,NA
Brazeau,1994,transplant,0,NA
Brazeau,1995,transplant,0,NA
Brazeau,1996,transplant,0,NA
Brazeau,1997,transplant,0,NA
Brazeau,1998,transplant,0,NA
Brazeau,1999,transplant,0,NA
Brazeau,2000,transplant,0,NA
Brazeau,2001,transplant,0,NA
Brazeau,2002,transplant,0,NA
Brazeau,2003,transplant,0,NA
Brazeau,2004,transplant,0,NA
Brazeau,2005,transplant,0,NA
Brazeau,2006,transplant,0,NA
Brazeau,2007,transplant,0,NA
Brazeau,2008,transplant,0,NA
Brazeau,2009,transplant,0,NA
Brazeau,2010,transplant,0,NA
Brazeau,2011,transplant,0,NA
Brazeau,2012,transplant,0,NA
Brazeau,2013,transplant,0,NA
Brazeau,2014,transplant,0,NA
Brazeau,2015,transplant,0,NA
Brazeau,2016,transplant,0,NA
Brazeau,2017,transplant,0,NA
Brazeau,2018,transplant,0,NA
Brazeau,2019,transplant,0,NA
Brazeau,2020,transplant,0,NA
Brazeau,2021,transplant,0,NA
Brazeau,2022,transplant,0,NA
Brazeau,2023,transplant,0,NA
Brazeau,1973,pen,NA,NA
Brazeau,1974,pen,NA,NA
Brazeau,1975,pen,NA,NA
Brazeau,1976,pen,NA,NA
Brazeau,1977,pen,NA,NA
Brazeau,1978,pen,NA,NA
Brazeau,1979,pen,NA,NA
Brazeau,1980,pen,NA,NA
Brazeau,1981,pen,NA,NA
Brazeau,1982,pen,NA,NA
Brazeau,1983,pen,NA,NA
Brazeau,1984,pen,NA,NA
Brazeau,1985,pen,NA,NA
Brazeau,1986,pen,NA,NA
Brazeau,1987,pen,NA,NA
Brazeau,1988,pen,0,NA
Brazeau,1989,pen,0,NA
Brazeau,1990,pen,0,NA
Brazeau,1991,pen,0,NA
Brazeau,1992,pen,0,NA
Brazeau,1993,pen,0,NA
Brazeau,1994,pen,0,NA
Brazeau,1995,pen,0,NA
Brazeau,1996,pen,0,NA
Brazeau,1997,pen,0,NA
Brazeau,1998,pen,0,NA
Brazeau,1999,pen,0,NA
Brazeau,2000,pen,0,NA
Brazeau,2001,pen,0,NA
Brazeau,2002,pen,0,NA
Brazeau,2003,pen,0,NA
Brazeau,2004,pen,0,NA
Brazeau,2005,pen,0,NA
Brazeau,2006,pen,0,NA
Brazeau,2007,pen,0,NA
Brazeau,2008,pen,0,NA
Brazeau,2009,pen,0,NA
Brazeau,2010,pen,0,NA
Brazeau,2011,pen,0,NA
Brazeau,2012,pen,0,NA
Brazeau,2013,pen,0,NA
Brazeau,2014,pen,0,NA
Brazeau,2015,pen,0,NA
Brazeau,2016,pen,0,NA
Brazeau,2017,pen,0,NA
Brazeau,2018,pen,0,NA
Brazeau,2019,pen,0,NA
Brazeau,2020,pen,0,NA
Brazeau,2021,pen,0,NA
Brazeau,2022,pen,0,NA
Brazeau,2023,pen,0,NA
Brazeau,1973,reduce moose,NA,NA
Brazeau,1974,reduce moose,NA,NA
Brazeau,1975,reduce moose,NA,NA
Brazeau,1976,reduce moose,NA,NA
Brazeau,1977,reduce moose,NA,NA
Brazeau,1978,reduce moose,NA,NA
Brazeau,1979,reduce moose,NA,NA
Brazeau,1980,reduce moose,NA,NA
Brazeau,1981,reduce moose,NA,NA
Brazeau,1982,reduce moose,NA,NA
Brazeau,1983,reduce moose,NA,NA
Brazeau,1984,reduce moose,NA,NA
Brazeau,1985,reduce moose,NA,NA
Brazeau,1986,reduce moose,NA,NA
Brazeau,1987,reduce moose,NA,NA
Brazeau,1988,reduce moose,0,NA
Brazeau,1989,reduce moose,0,NA
Brazeau,1990,reduce moose,0,NA
Brazeau,1991,reduce moose,0,NA
Brazeau,1992,reduce moose,0,NA
Brazeau,1993,reduce moose,0,NA
Brazeau,1994,reduce moose,0,NA
Brazeau,1995,reduce moose,0,NA
Brazeau,1996,reduce moose,0,NA
Brazeau,1997,reduce moose,0,NA
Brazeau,1998,reduce moose,0,NA
Brazeau,1999,reduce moose,0,NA
Brazeau,2000,reduce moose,0,NA
Brazeau,2001,reduce moose,0,NA
Brazeau,2002,reduce moose,0,NA
Brazeau,2003,reduce moose,0,NA
Brazeau,2004,reduce moose,0,NA
Brazeau,2005,reduce moose,0,NA
Brazeau,2006,reduce moose,0,NA
Brazeau,2007,reduce moose,0,NA
Brazeau,2008,reduce moose,0,NA
Brazeau,2009,reduce moose,0,NA
Brazeau,2010,reduce moose,0,NA
Brazeau,2011,reduce moose,0,NA
Brazeau,2012,reduce moose,0,NA
Brazeau,2013,reduce moose,0,NA
Brazeau,2014,reduce moose,0,NA
Brazeau,2015,reduce moose,0,NA
Brazeau,2016,reduce moose,0,NA
Brazeau,2017,reduce moose,0,NA
Brazeau,2018,reduce moose,0,NA
Brazeau,2019,reduce moose,0,NA
Brazeau,2020,reduce moose,0,NA
Brazeau,2021,reduce moose,0,NA
Brazeau,2022,reduce moose,0,NA
Brazeau,2023,reduce moose,0,NA
Brazeau,1973,feed,NA,NA
Brazeau,1974,feed,NA,NA
Brazeau,1975,feed,NA,NA
Brazeau,1976,feed,NA,NA
Brazeau,1977,feed,NA,NA
Brazeau,1978,feed,NA,NA
Brazeau,1979,feed,NA,NA
Brazeau,1980,feed,NA,NA
Brazeau,1981,feed,NA,NA
Brazeau,1982,feed,NA,NA
Brazeau,1983,feed,NA,NA
Brazeau,1984,feed,NA,NA
Brazeau,1985,feed,NA,NA
Brazeau,1986,feed,NA,NA
Brazeau,1987,feed,NA,NA
Brazeau,1988,feed,0,NA
Brazeau,1989,feed,0,NA
Brazeau,1990,feed,0,NA
Brazeau,1991,feed,0,NA
Brazeau,1992,feed,0,NA
Brazeau,1993,feed,0,NA
Brazeau,1994,feed,0,NA
Brazeau,1995,feed,0,NA
Brazeau,1996,feed,0,NA
Brazeau,1997,feed,0,NA
Brazeau,1998,feed,0,NA
Brazeau,1999,feed,0,NA
Brazeau,2000,feed,0,NA
Brazeau,2001,feed,0,NA
Brazeau,2002,feed,0,NA
Brazeau,2003,feed,0,NA
Brazeau,2004,feed,0,NA
Brazeau,2005,feed,0,NA
Brazeau,2006,feed,0,NA
Brazeau,2007,feed,0,NA
Brazeau,2008,feed,0,NA
Brazeau,2009,feed,0,NA
Brazeau,2010,feed,0,NA
Brazeau,2011,feed,0,NA
Brazeau,2012,feed,0,NA
Brazeau,2013,feed,0,NA
Brazeau,2014,feed,0,NA
Brazeau,2015,feed,0,NA
Brazeau,2016,feed,0,NA
Brazeau,2017,feed,0,NA
Brazeau,2018,feed,0,NA
Brazeau,2019,feed,0,NA
Brazeau,2020,feed,0,NA
Brazeau,2021,feed,0,NA
Brazeau,2022,feed,0,NA
Brazeau,2023,feed,0,NA
Burnt Pine,1973,reduce wolves,NA,NA
Burnt Pine,1974,reduce wolves,NA,NA
Burnt Pine,1975,reduce wolves,NA,NA
Burnt Pine,1976,reduce wolves,NA,NA
Burnt Pine,1977,reduce wolves,NA,NA
Burnt Pine,1978,reduce wolves,NA,NA
Burnt Pine,1979,reduce wolves,NA,NA
Burnt Pine,1980,reduce wolves,NA,NA
Burnt Pine,1981,reduce wolves,NA,NA
Burnt Pine,1982,reduce wolves,NA,NA
Burnt Pine,1983,reduce wolves,NA,NA
Burnt Pine,1984,reduce wolves,NA,NA
Burnt Pine,1985,reduce wolves,NA,NA
Burnt Pine,1986,reduce wolves,NA,NA
Burnt Pine,1987,reduce wolves,NA,NA
Burnt Pine,1988,reduce wolves,NA,NA
Burnt Pine,1989,reduce wolves,NA,NA
Burnt Pine,1990,reduce wolves,NA,NA
Burnt Pine,1991,reduce wolves,NA,NA
Burnt Pine,1992,reduce wolves,NA,NA
Burnt Pine,1993,reduce wolves,NA,NA
Burnt Pine,1994,reduce wolves,NA,NA
Burnt Pine,1995,reduce wolves,NA,NA
Burnt Pine,1996,reduce wolves,NA,NA
Burnt Pine,1997,reduce wolves,NA,NA
Burnt Pine,1998,reduce wolves,NA,NA
Burnt Pine,1999,reduce wolves,NA,NA
Burnt Pine,2000,reduce wolves,NA,NA
Burnt Pine,2001,reduce wolves,NA,NA
Burnt Pine,2002,reduce wolves,0,NA
Burnt Pine,2003,reduce wolves,0,NA
Burnt Pine,2004,reduce wolves,0,NA
Burnt Pine,2005,reduce wolves,0,NA
Burnt Pine,2006,reduce wolves,0,NA
Burnt Pine,2007,reduce wolves,0,NA
Burnt Pine,2008,reduce wolves,0,NA
Burnt Pine,2009,reduce wolves,0,NA
Burnt Pine,2010,reduce wolves,0,NA
Burnt Pine,2011,reduce wolves,0,NA
Burnt Pine,2012,reduce wolves,0,NA
Burnt Pine,2013,reduce wolves,0,NA
Burnt Pine,2014,reduce wolves,0,NA
Burnt Pine,2015,reduce wolves,0,NA
Burnt Pine,2016,reduce wolves,0,NA
Burnt Pine,2017,reduce wolves,0,NA
Burnt Pine,2018,reduce wolves,0,NA
Burnt Pine,2019,reduce wolves,0,NA
Burnt Pine,2020,reduce wolves,0,NA
Burnt Pine,2021,reduce wolves,0,NA
Burnt Pine,2022,reduce wolves,0,NA
Burnt Pine,2023,reduce wolves,0,NA
Burnt Pine,1973,sterilize wolves,NA,NA
Burnt Pine,1974,sterilize wolves,NA,NA
Burnt Pine,1975,sterilize wolves,NA,NA
Burnt Pine,1976,sterilize wolves,NA,NA
Burnt Pine,1977,sterilize wolves,NA,NA
Burnt Pine,1978,sterilize wolves,NA,NA
Burnt Pine,1979,sterilize wolves,NA,NA
Burnt Pine,1980,sterilize wolves,NA,NA
Burnt Pine,1981,sterilize wolves,NA,NA
Burnt Pine,1982,sterilize wolves,NA,NA
Burnt Pine,1983,sterilize wolves,NA,NA
Burnt Pine,1984,sterilize wolves,NA,NA
Burnt Pine,1985,sterilize wolves,NA,NA
Burnt Pine,1986,sterilize wolves,NA,NA
Burnt Pine,1987,sterilize wolves,NA,NA
Burnt Pine,1988,sterilize wolves,NA,NA
Burnt Pine,1989,sterilize wolves,NA,NA
Burnt Pine,1990,sterilize wolves,NA,NA
Burnt Pine,1991,sterilize wolves,NA,NA
Burnt Pine,1992,sterilize wolves,NA,NA
Burnt Pine,1993,sterilize wolves,NA,NA
Burnt Pine,1994,sterilize wolves,NA,NA
Burnt Pine,1995,sterilize wolves,NA,NA
Burnt Pine,1996,sterilize wolves,NA,NA
Burnt Pine,1997,sterilize wolves,NA,NA
Burnt Pine,1998,sterilize wolves,NA,NA
Burnt Pine,1999,sterilize wolves,NA,NA
Burnt Pine,2000,sterilize wolves,NA,NA
Burnt Pine,2001,sterilize wolves,NA,NA
Burnt Pine,2002,sterilize wolves,0,NA
Burnt Pine,2003,sterilize wolves,0,NA
Burnt Pine,2004,sterilize wolves,0,NA
Burnt Pine,2005,sterilize wolves,0,NA
Burnt Pine,2006,sterilize wolves,0,NA
Burnt Pine,2007,sterilize wolves,0,NA
Burnt Pine,2008,sterilize wolves,0,NA
Burnt Pine,2009,sterilize wolves,0,NA
Burnt Pine,2010,sterilize wolves,0,NA
Burnt Pine,2011,sterilize wolves,0,NA
Burnt Pine,2012,sterilize wolves,0,NA
Burnt Pine,2013,sterilize wolves,0,NA
Burnt Pine,2014,sterilize wolves,0,NA
Burnt Pine,2015,sterilize wolves,0,NA
Burnt Pine,2016,sterilize wolves,0,NA
Burnt Pine,2017,sterilize wolves,0,NA
Burnt Pine,2018,sterilize wolves,0,NA
Burnt Pine,2019,sterilize wolves,0,NA
Burnt Pine,2020,sterilize wolves,0,NA
Burnt Pine,2021,sterilize wolves,0,NA
Burnt Pine,2022,sterilize wolves,0,NA
Burnt Pine,2023,sterilize wolves,0,NA
Burnt Pine,1973,transplant,NA,NA
Burnt Pine,1974,transplant,NA,NA
Burnt Pine,1975,transplant,NA,NA
Burnt Pine,1976,transplant,NA,NA
Burnt Pine,1977,transplant,NA,NA
Burnt Pine,1978,transplant,NA,NA
Burnt Pine,1979,transplant,NA,NA
Burnt Pine,1980,transplant,NA,NA
Burnt Pine,1981,transplant,NA,NA
Burnt Pine,1982,transplant,NA,NA
Burnt Pine,1983,transplant,NA,NA
Burnt Pine,1984,transplant,NA,NA
Burnt Pine,1985,transplant,NA,NA
Burnt Pine,1986,transplant,NA,NA
Burnt Pine,1987,transplant,NA,NA
Burnt Pine,1988,transplant,NA,NA
Burnt Pine,1989,transplant,NA,NA
Burnt Pine,1990,transplant,NA,NA
Burnt Pine,1991,transplant,NA,NA
Burnt Pine,1992,transplant,NA,NA
Burnt Pine,1993,transplant,NA,NA
Burnt Pine,1994,transplant,NA,NA
Burnt Pine,1995,transplant,NA,NA
Burnt Pine,1996,transplant,NA,NA
Burnt Pine,1997,transplant,NA,NA
Burnt Pine,1998,transplant,NA,NA
Burnt Pine,1999,transplant,NA,NA
Burnt Pine,2000,transplant,NA,NA
Burnt Pine,2001,transplant,NA,NA
Burnt Pine,2002,transplant,0,NA
Burnt Pine,2003,transplant,0,NA
Burnt Pine,2004,transplant,0,NA
Burnt Pine,2005,transplant,0,NA
Burnt Pine,2006,transplant,0,NA
Burnt Pine,2007,transplant,0,NA
Burnt Pine,2008,transplant,0,NA
Burnt Pine,2009,transplant,0,NA
Burnt Pine,2010,transplant,0,NA
Burnt Pine,2011,transplant,0,NA
Burnt Pine,2012,transplant,0,NA
Burnt Pine,2013,transplant,0,NA
Burnt Pine,2014,transplant,0,NA
Burnt Pine,2015,transplant,0,NA
Burnt Pine,2016,transplant,0,NA
Burnt Pine,2017,transplant,0,NA
Burnt Pine,2018,transplant,0,NA
Burnt Pine,2019,transplant,0,NA
Burnt Pine,2020,transplant,0,NA
Burnt Pine,2021,transplant,0,NA
Burnt Pine,2022,transplant,0,NA
Burnt Pine,2023,transplant,0,NA
Burnt Pine,1973,pen,NA,NA
Burnt Pine,1974,pen,NA,NA
Burnt Pine,1975,pen,NA,NA
Burnt Pine,1976,pen,NA,NA
Burnt Pine,1977,pen,NA,NA
Burnt Pine,1978,pen,NA,NA
Burnt Pine,1979,pen,NA,NA
Burnt Pine,1980,pen,NA,NA
Burnt Pine,1981,pen,NA,NA
Burnt Pine,1982,pen,NA,NA
Burnt Pine,1983,pen,NA,NA
Burnt Pine,1984,pen,NA,NA
Burnt Pine,1985,pen,NA,NA
Burnt Pine,1986,pen,NA,NA
Burnt Pine,1987,pen,NA,NA
Burnt Pine,1988,pen,NA,NA
Burnt Pine,1989,pen,NA,NA
Burnt Pine,1990,pen,NA,NA
Burnt Pine,1991,pen,NA,NA
Burnt Pine,1992,pen,NA,NA
Burnt Pine,1993,pen,NA,NA
Burnt Pine,1994,pen,NA,NA
Burnt Pine,1995,pen,NA,NA
Burnt Pine,1996,pen,NA,NA
Burnt Pine,1997,pen,NA,NA
Burnt Pine,1998,pen,NA,NA
Burnt Pine,1999,pen,NA,NA
Burnt Pine,2000,pen,NA,NA
Burnt Pine,2001,pen,NA,NA
Burnt Pine,2002,pen,0,NA
Burnt Pine,2003,pen,0,NA
Burnt Pine,2004,pen,0,NA
Burnt Pine,2005,pen,0,NA
Burnt Pine,2006,pen,0,NA
Burnt Pine,2007,pen,0,NA
Burnt Pine,2008,pen,0,NA
Burnt Pine,2009,pen,0,NA
Burnt Pine,2010,pen,0,NA
Burnt Pine,2011,pen,0,NA
Burnt Pine,2012,pen,0,NA
Burnt Pine,2013,pen,0,NA
Burnt Pine,2014,pen,0,NA
Burnt Pine,2015,pen,0,NA
Burnt Pine,2016,pen,0,NA
Burnt Pine,2017,pen,0,NA
Burnt Pine,2018,pen,0,NA
Burnt Pine,2019,pen,0,NA
Burnt Pine,2020,pen,0,NA
Burnt Pine,2021,pen,0,NA
Burnt Pine,2022,pen,0,NA
Burnt Pine,2023,pen,0,NA
Burnt Pine,1973,reduce moose,NA,NA
Burnt Pine,1974,reduce moose,NA,NA
Burnt Pine,1975,reduce moose,NA,NA
Burnt Pine,1976,reduce moose,NA,NA
Burnt Pine,1977,reduce moose,NA,NA
Burnt Pine,1978,reduce moose,NA,NA
Burnt Pine,1979,reduce moose,NA,NA
Burnt Pine,1980,reduce moose,NA,NA
Burnt Pine,1981,reduce moose,NA,NA
